id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
82,114556.3,22308,7.26,92.74,19.4771531,100,29462.5,35150,0,218.75,47731.25,0,1350,0,543.75,283.998161,27898,22400,79,FINLAND,763.7125
83,617200,128222,58.1,41.9,20.7725344,31281.25,113468.75,136125,40793.75,2381.25,287818.75,0,1668.75,0,3662.5,257.712627,49927,48382,70.2054695,ESTONIA,2106.7075
84,265475,20108,51.45,48.55,7.57410113,3568.75,85812.5,130543.75,200,325,39943.75,0,4887.5,0,193.75,260.741106,23349,18748,79,FINLAND,328.2325
85,1121000,12571,67.06,32.94,1.12151188,28556.25,591700,131318.75,81256.25,170300,3450,56343.75,54831.25,2593.75,650,533.605826,2025,1600,91.6311462,SWEDEN,269.3725
86,130575,75805,91.6,8.4,58.0450291,150,19068.75,66925,0,50,40218.75,0,1243.75,0,2918.75,290.703717,23506,18874,79,FINLAND,1147.5775
87,1474931.3,1223131,71.11,28.89,82.931117,29568.75,103637.5,106656.25,87781.25,4731.25,1099106.25,0,29187.5,0,14262.5,204.790121,493414,218431,30.3579506,RUSSIA,3533.7475
88,374325,16029,2.08,97.92,4.28204035,1575,128406.25,180350,400,3856.25,40893.75,0,18843.75,0,0,258.093845,23904,19193,79,FINLAND,416.7975
89,413768.8,4693,0,100,1.13428861,312.5,252243.75,70250,175,76531.25,3525,0,10731.25,0,0,314.678682,2067,1633,91.6000032,SWEDEN,57.9425
90,186031.3,5090,0,100,2.73702533,0,137700,33581.25,0,350,1650,0,12750,0,0,287.401103,968,765,91.6000032,SWEDEN,70.04
91,189575,82627,60.51,39.49,43.5888426,23131.25,18412.5,41093.75,1662.5,675,96068.75,0,5800,0,2731.25,208.588335,56344,44519,91.6000032,SWEDEN,665.005924
92,362381.3,42126,9.97,90.03,11.6247736,41631.25,39793.75,74293.75,20362.5,850,178737.5,0,6106.25,0,606.25,288.802168,26912,27611,65.8922202,LATVIA,1576.4175
93,437143.8,17159,0,100,3.92488247,2393.75,98081.25,254043.75,337.5,7100,66262.5,0,8925,0,0,276.284598,38734,31100,79,FINLAND,478.2625
94,321800,2822,74.83,25.17,0.87706986,0,176056.25,106643.75,143.75,9768.75,9831.25,0,19356.25,0,0,444.867426,5747,4614,79,FINLAND,128.3925
95,46793.8,5418,49.21,50.79,11.579057,0,31481.25,7587.5,0,0,7437.5,0,281.25,0,6.25,221.515183,4348,3491,79,FINLAND,154.01
96,1157712.5,51356,55.15,44.85,4.43599094,48400,586687.5,167731.25,72375,81356.25,7331.25,53175,138443.75,0,2212.5,468.302993,4300,3398,91.6009189,SWEDEN,288.675
97,40656.3,850,0,100,2.09329715,0,23831.25,15531.25,0,431.25,287.5,0,575,0,0,387.629378,169,133,91.6000032,SWEDEN,6.6025
98,3961218.8,77809,53.9,46.1,1.96422844,378256.25,974393.75,948162.5,599312.5,712468.75,49300,103725,188393.75,4168.75,3037.5,349.561928,28878,22966,87.3318393,SWEDEN,681.495
99,2673562.5,110515,65.44,34.56,4.13342335,199925,1360168.75,467493.75,178868.75,178337.5,34962.5,99318.75,150493.75,275,3718.75,542.334391,20515,16209,91.6274817,SWEDEN,669.8175
100,81931.3,31617,72.03,27.97,38.599758,50,19543.75,27987.5,137.5,75,32681.25,0,325,0,1131.25,257.142487,19104,15339,79,FINLAND,466.6025
101,172581.3,454560,98.8,1.2,263.361327,93.75,39493.75,73650,493.75,193.75,39487.5,0,3412.5,0,15756.25,308.141328,23082,18533,79,FINLAND,1096.005
102,1159675,349567,46.77,53.23,30.1426835,26350,124331.25,171050,101225,1000,720037.5,0,7156.25,0,8525,200.397492,154375,142703,61.7229284,LATVIA,5082.7225
103,32412.5,869,0,100,2.68005265,475,21743.75,6131.25,0,50,3631.25,0,381.25,0,0,444.645099,2123,1704,79,FINLAND,124.5875
104,215275,96932,79.08,20.92,45.0217917,9168.75,113887.5,58456.25,206.25,0,22056.25,0,6600,0,4900,668.671052,12936,10221,91.6000032,SWEDEN,1019.4025
105,19289931.3,23390678,57.47,42.53,121.258568,559281.25,2206700,1386943.75,2242831.25,96237.5,12410143.8,2706.25,152218.75,0,232868.75,209.192573,9961416,3809067,46.7205994,POLAND,77492.0575
